Channel Id,Channel Url,Channel Title
UC-2YHgc363EdcusLIBbgxzg,http://www.youtube.com/channel/UC-2YHgc363EdcusLIBbgxzg,Joe Scott
UC-2dITC2dWU1cimozDS2xAg,http://www.youtube.com/channel/UC-2dITC2dWU1cimozDS2xAg,HORIZON
UC-LM91jkqJdWFvm9B5G-w7Q,http://www.youtube.com/channel/UC-LM91jkqJdWFvm9B5G-w7Q,Alan Fisher
UC-OJ-24roEfQ_-PCnLJSckg,http://www.youtube.com/channel/UC-OJ-24roEfQ_-PCnLJSckg,Future Proof
UC-Qj80avWItNRjkZ41rzHyw,http://www.youtube.com/channel/UC-Qj80avWItNRjkZ41rzHyw,Soph's Notes
UC-YZHMC6sbVOz87M3VzrUww,http://www.youtube.com/channel/UC-YZHMC6sbVOz87M3VzrUww,Nimesh in Los Angeles
UC-kM5kL9CgjN9s9pim089gg,http://www.youtube.com/channel/UC-kM5kL9CgjN9s9pim089gg,Adam Conover
UC-nPM1_kSZf91ZGkcgy_95Q,http://www.youtube.com/channel/UC-nPM1_kSZf91ZGkcgy_95Q,How to ADHD
UC-sJ8u8eu_ivfzekwkue38g,http://www.youtube.com/channel/UC-sJ8u8eu_ivfzekwkue38g,Super GT
UC04KsGq3npibMCE9Td3mVDg,http://www.youtube.com/channel/UC04KsGq3npibMCE9Td3mVDg,Cheddar
UC0Bvd5NyXn-ZYPiWuoeK5jA,http://www.youtube.com/channel/UC0Bvd5NyXn-ZYPiWuoeK5jA,Mythical Modern
UC0HAW8tgFA_xEmeUupuRwiA,http://www.youtube.com/channel/UC0HAW8tgFA_xEmeUupuRwiA,Simon Caine
UC0KfjyvabuE2J-RBC6ko2Lw,http://www.youtube.com/channel/UC0KfjyvabuE2J-RBC6ko2Lw,Mac Address
UC0_CTubjGeDth7X0bxUTBTA,http://www.youtube.com/channel/UC0_CTubjGeDth7X0bxUTBTA,Atun-Shei Films
UC0fDG3byEcMtbOqPMymDNbw,http://www.youtube.com/channel/UC0fDG3byEcMtbOqPMymDNbw,Noclip - Video Game Documentaries
